Date,Open,High,Low,Close,Volume
1984-09-07,0.0991725,0.10039,0.0979751,0.0991725,99242379
1984-09-10,0.0991725,0.0994767,0.096788,0.0985838,77028276
1984-09-11,0.0994767,0.102175,0.0994767,0.10039,181637249
1984-09-12,0.10039,0.100977,0.097367,0.097367,158675628
1984-09-13,0.102784,0.103077,0.102784,0.102784,247131424
1984-09-14,0.103077,0.10666,0.103077,0.104265,294256135
1984-09-17,0.106973,0.108466,0.106973,0.106973,229749930
1984-09-18,0.106973,0.107856,0.103077,0.103077,115983024
1984-09-19,0.103077,0.104265,0.100977,0.100977,126689546
1984-09-20,0.101273,0.102175,0.101273,0.101273,78870605
1984-09-21,0.101273,0.104265,0.0991725,0.10039,119000008
1984-09-24,0.10039,0.100977,0.0994767,0.0994767,94169483
1984-09-25,0.0991725,0.0991725,0.097367,0.097367,198805147
1984-09-26,0.097367,0.10186,0.0961894,0.0961894,132269776
1984-09-27,0.0961894,0.096788,0.0961894,0.0961894,126262348
1984-09-28,0.0961894,0.0961894,0.0919896,0.0937853,278209676
1984-10-01,0.0935009,0.0935009,0.0916856,0.0916856,116543693
1984-10-02,0.0922843,0.0955813,0.0922843,0.0922843,140947077
1984-10-03,0.0937853,0.0952769,0.0937853,0.0937853,143536998
1984-10-04,0.0949629,0.0955813,0.0949629,0.0949629,149571093
1984-10-05,0.0949629,0.0949629,0.0922843,0.0928924,116303425
1984-10-08,0.0928924,0.0935009,0.0928924,0.0928924,55989049
1984-10-09,0.0928924,0.0935009,0.0919896,0.0919896,149304079
1984-10-10,0.0919896,0.0919896,0.0892817,0.0892817,434882857
1984-10-11,0.0892817,0.0916856,0.0886927,0.0886927,217841937
1984-10-12,0.0886927,0.0892817,0.084179,0.0847876,316817319
1984-10-15,0.0895761,0.0904787,0.0895761,0.0895761,289957505
1984-10-16,0.0895761,0.08989,0.0892817,0.0892817,140680156
1984-10-17,0.0928924,0.0935009,0.0928924,0.0928924,186710246
1984-10-18,0.0955813,0.0961894,0.0955813,0.0955813,294603231
1984-10-19,0.0955813,0.102175,0.0952769,0.0955813,388719319
1984-10-22,0.0955813,0.0970725,0.0949629,0.0949629,136782017
1984-10-23,0.0970725,0.0979751,0.0970725,0.0970725,222220692
1984-10-24,0.0979751,0.0991725,0.0979751,0.0979751,199072145
1984-10-25,0.0979751,0.0979751,0.0943938,0.0943938,188525833
1984-10-26,0.0943938,0.0943938,0.0916856,0.0919896,136888768
1984-10-29,0.0922843,0.0928924,0.0922843,0.0922843,60367776
1984-10-30,0.0935009,0.0943938,0.0935009,0.0935009,88909638
1984-10-31,0.0935009,0.0943938,0.0928924,0.0928924,71795206
1984-11-01,0.0935009,0.0943938,0.0935009,0.0935009,56069116
1984-11-02,0.0935009,0.0937853,0.0922843,0.0928924,33000689
1984-11-05,0.0928924,0.0949629,0.0922843,0.0922843,125594874
1984-11-06,0.0979751,0.0985838,0.0979751,0.0979751,268571165
1984-11-07,0.0979751,0.0985838,0.0961894,0.0961894,275993628
